Salary_id,iso_alpha2,Job_id,percentile_25,percentile_25_GBP,percentile_50,percentile_50_GBP,percentile_75,percentile_75_GBP
272,AO,CIVIL-ENGINEER,35458.3,33.5305,42271.7,39.9734,50394.3,47.6544
273,AO,CONTENT-MARKETING,24462.7,23.1327,30628.7,28.9634,38348.9,36.2639
274,AO,COPYWRITER,24271.2,22.9516,29845.1,28.2224,36698.9,34.7036
275,AO,CUSTOMER-SUPPORT,20289.1,19.186,26085.2,24.667,33537.2,31.7139
276,AO,DATA-ANALYST,29145.7,27.5611,35077.1,33.17,42215.7,39.9204
277,AO,DATA-SCIENTIST,57501.8,54.3755,69462.9,65.6863,83912.1,79.3499
278,AO,DENTIST,61427.9,58.0881,80000.1,75.6506,104188,98.523
279,AO,ELECTRICAL-ENGINEER,38614.7,36.5152,46037.2,43.5342,54886.4,51.9023
280,AO,EXECUTIVE-ASSISTANT,28673.5,27.1145,34680.8,32.7952,41946.6,39.666
281,AO,FASHION-DESIGNER,30089.2,28.4533,38842.6,36.7307,50142.4,47.4162
282,AO,FINANCE-MANAGER,40565,38.3596,51241.9,48.4559,64728.9,61.2096
283,AO,FINANCIAL-ANALYST,31270.1,29.57,36391.6,34.413,42351.9,40.0493
284,AO,GRAPHIC-DESIGNER,22100.1,20.8985,26315.8,24.885,31335.6,29.6319
285,AO,HARDWARE-ENGINEER,39469.9,37.3239,47954.1,45.3468,58262,55.0943
286,AO,HUMAN-RESOURCES-MANAGER,36308.1,34.334,44337.4,41.9268,54142.4,51.1987
287,AO,IT-MANAGER,42107.9,39.8185,51598.2,48.7929,63227.6,59.79
288,AO,INDUSTRIAL-DESIGNER,34257.9,32.3954,42083.7,39.7956,51697.1,48.8864
289,AO,INTERIOR-DESIGNER,29227.8,27.6387,35266.9,33.3495,42553.9,40.2403
290,AO,LECTURER,28381.9,26.8388,34973.3,33.0719,43095.6,40.7525
291,AO,MARKETING-MANAGER,34967.4,33.0663,43920.1,41.5322,55164.9,52.1656
292,AO,MECHANICAL-ENGINEER,36747.2,34.7493,43084.5,40.7421,50514.8,47.7684
293,AO,MOBILE-DEVELOPER,35815.6,33.8684,44794,42.3586,56023.2,52.9773
294,AO,NURSE,38585.7,36.4879,42925.7,40.5918,47753.7,45.1574
